"484","FOROS DE SALVATERRA","2120 SALVATERRA DE MAGOS"
"485","CHAMUSCA","2140 CHAMUSCA"
"486","ALMEIRIM","2080 ALMEIRIM"
"487","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"488","CORTICOIS","2080 ALMEIRIM"
"489","CHAMUSCA","2140 CHAMUSCA"
"490","JARDIM DE CIMA","2000 SANTAREM"
"491","ALMEIRIM","2080 ALMEIRIM"
"492","AZEITADA","2080 ALMEIRIM"
"493","PORTELA DAS PADEIRAS","2000 SANTAREM"
"494","MADALENA","2300 TOMAR"
"495","VALE DE SANTAREM","2000 SANTAREM"
"496","ALMEIRIM","2080 ALMEIRIM"
"497","2080 ALMEIRIM","2080 ALMEIRIM"
"498","FAZENDAS DE ALMEIRIM","2080-576 FAZENDAS DE ALMEIRIM"
"499","Almeirim","2080 ALMEIRIM"
"500","ALMEIRIM","2080 116 ALMEIRIM"
"501","BENFICA DO RIBATEJO","2080 BENFICA DO RIBATEJO"
"502","Almeirim","2080-094 ALMEIRIM"
"503","PACO DOS NEGROS","2080 ALMEIRIM"
"504","ALCANHOES","2000-350 ALCANHOES"
"505","ALMEIRIM","2080  ALMEIRIM"
"506","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"507","FAZENDAS DE ALMEIRIM","2080 FAZENDAS DE ALMEIRIM"
"508","ALTO DO BEXIGA","2000 SANTAREM"
"509","TAPADA","2080 ALMEIRIM"
"510","ALMOFALA-ALVORNINHA","2500-331 CALDAS DA RAINHA"
"511","ALMEIRIM","2080 ALMEIRIM"
"512","ALMEIRIM","2080 ALMEIRIM"
"513","LAMAROSA","2100 CORUCHE"
"514","FAZENDAS DE ALMEIRIM","2080-631 FAZENDAS DE ALMEIRIM"
"515","PACO DOS NEGROS","2080 ALMEIRIM"
"516","CORTICOIS","2080 ALMEIRIM"
"517","CORTICOIS","2080-384 BENFICA DO RIBATEJO"
"518","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"519","VILA CHA DE OURIQUE","2070-647 VILA CHA DE OURIQUE"
"520","ALMEIRIM","2080 ALMEIRIM"
"521","APARTADO 26131- EC LAPA","1201-801 LISBOA"
"522","ALMEIRIM","2080 ALMEIRIM"
"523","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"524","CORUCHE","2100 CORUCHE"
"525","ALMEIRIM","2080 ALMEIRIM"
"526","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"527","ALPIARCA","2090-095 ALPIARCA"
"528","ALMEIRIM","2080 ALMEIRIM"
"529","ALPIARCA","2090 ALPIARCA"
"530","ALMEIRIM","2080 ALMEIRIM"
"531","S. VICENTE DO PAUL","2000 SANTAREM"
"532","ALPIARCA","2090 ALPIARCA"
"533","MONTEMOR NOVO","7050-273 MONTEMOR NOVO"
"534","APARTADO 6272","7801-903 BEJA"
"535","PARREIRA","2140 CHAMUSCA"
"536","VALADA","2070-503 VALADA"
"537","ALMEIRIM","2080 ALMEIRIM"
"538","ALMEIRIM","2080 ALMEIRIM"
"539","SANTAREM","2000 SANTAREM"
"540","GOLEGA","2150-143 GOLEGA"
"541","CASEVEL","2035 PERNES"
"542","PACO DOS NEGROS","2080 ALMEIRIM"
"543","ALMEIRIM","2080 ALMEIRIM"
"544","SAO VICENTE DO PAUL","2000 SANTAREM"
"545","ALMEIRIM","2080 ALMEIRIM"
"546","ALPIARCA","2090 ALPIARCA"
"547","VALE DE CAVALOS","2140 CHAMUSCA"
"548","SANTAREM","2000 SANTAREM"
"549","OUTEIRO DO BAIRRINHO-S.VICENTE PAUL","2000-671 S.VICENTE DO PAUL"
"550","ALMEIRIM","2080 ALMEIRIM"
"551","FRADE DE BAIXO","2090 ALPIARCA"
"552","ALPIARCA","2090 ALPIARCA"
"553","LAMAROSA","2100 CORUCHE"
"554","ALMEIRIM","2080 ALMEIRIM"
"555","SANTAREM","2000 SANTAREM"
"556","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"557","VALE DE FIGUEIRA","2000 SANTAREM"
"558","RIACHOS","2350-325 RIACHOS"
